# id	buy_limit	guide_price	name  (OSRS wiki prices API + Module:GELimits)
353	15000	12	Raw mackerel
355	6000	6	Mackerel
359	15000	41	Raw tuna
361	6000	33	Tuna
363	15000	9	Raw bass
365	6000	39	Bass
371	15000	192	Raw swordfish
373	6000	197	Swordfish
377	15000	114	Raw lobster
379	6000	98	Lobster
383	15000	716	Raw shark
385	10000	1000	Shark
389	15000	1040	Raw manta ray
391	10000	1404	Manta ray
395	15000	658	Raw sea turtle
397	10000	1045	Sea turtle
401	13000	6	Seaweed
403	13000	145	Edible seaweed
405	50	610	Casket
407	11000	27	Oyster
411	11000	30	Oyster pearl
413	11000	569	Oyster pearls
426	150	17	Priest gown (top)
428	150	17	Priest gown (bottom)
434	13000	74	Clay
436	13000	12	Copper ore
438	13000	14	Tin ore
440	13000	71	Iron ore
442	13000	69	Silver ore
444	30000	152	Gold ore
447	13000	157	Mithril ore
449	4500	554	Adamantite ore
451	4500	10121	Runite ore
453	13000	137	Coal
464	2000	448	Strange fruit
526	3000	37	Bones
528	3000	538	Burnt bones
530	3000	775	Bat bones
532	3000	276	Big bones
534	3000	1072	Babydragon bones
536	7500	3438	Dragon bones
538	125	15763	Druid's robe
540	125	11944	Druid's robe top
542	125	106	Monk's robe
544	125	351	Monk's robe top
546	125	359	Shade robe top
548	125	60	Shade robe
554	50000	5	Fire rune
555	50000	5	Water rune
556	50000	5	Air rune
557	50000	5	Earth rune
558	18000	2	Mind rune
559	18000	4	Body rune
560	25000	191	Death rune
561	18000	136	Nature rune
562	18000	105	Chaos rune
563	18000	126	Law rune
564	18000	118	Cosmic rune
565	25000	347	Blood rune
566	25000	379	Soul rune
567	10000	74	Unpowered orb
569	11000	1602	Fire orb
571	11000	1087	Water orb
573	11000	1697	Air orb
575	11000	1221	Earth orb
577	125	1149	Blue wizard robe
579	125	319	Blue wizard hat
581	125	475	Black robe
590	40	98	Tinderbox
592	13000	25	Ashes
596	40	28	Unlit torch
621	18000	460	Ship ticket
626	150	1704	Pink boots
628	150	260	Green boots
630	150	1399	Blue boots
632	150	1943	Cream boots
634	150	147	Turquoise boots
636	150	980	Pink robe top
638	150	1575	Green robe top
640	150	3140	Blue robe top
642	150	1258	Cream robe top
644	150	710	Turquoise robe top
646	150	6500	Pink robe bottoms
648	150	782	Green robe bottoms
650	150	670	Blue robe bottoms
652	150	1132	Cream robe bottoms
654	150	1350	Turquoise robe bottoms
656	150	538	Pink hat
658	150	213	Green hat
660	150	449	Blue hat
662	150	1230	Cream hat
664	150	591	Turquoise hat
751	150	31392	Gnomeball
753	600	64	Cadava berries
800	7000	4	Bronze thrownaxe
801	7000	15	Iron thrownaxe
802	7000	4240	Steel thrownaxe
803	7000	43	Mithril thrownaxe
804	11000	141	Adamant thrownaxe
805	11000	166	Rune thrownaxe
806	7000	22	Bronze dart
807	7000	7	Iron dart
808	7000	4	Steel dart
809	7000	7	Mithril dart
810	11000	28	Adamant dart
811	11000	239	Rune dart
812	7000	39	Bronze dart(p)
813	7000	35027	Iron dart (p)
814	7000	42	Steel dart(p)
815	7000	166	Mithril dart(p)
816	11000	25	Adamant dart(p)
817	11000	244	Rune dart(p)
819	13000	36	Bronze dart tip
820	13000	51	Iron dart tip
821	13000	84	Steel dart tip
822	20000	109	Mithril dart tip
823	20000	191	Adamant dart tip
824	11000	1070	Rune dart tip
825	7000	10	Bronze javelin
826	7000	3	Iron javelin
827	7000	2	Steel javelin
828	7000	4	Mithril javelin
829	11000	39	Adamant javelin
830	11000	134	Rune javelin
831	7000	751	Bronze javelin(p)
832	7000	1	Iron javelin(p)
833	7000	125047	Steel javelin(p)
834	7000	75012	Mithril javelin(p)
835	11000	37604	Adamant javelin(p)
836	7000	114	Rune javelin(p)
837	125	5132	Crossbow
839	18000	61	Longbow
841	18000	51	Shortbow
843	18000	21	Oak shortbow
845	18000	37	Oak longbow
847	18000	107	Willow longbow
849	18000	95	Willow shortbow
851	18000	270	Maple longbow
853	18000	163	Maple shortbow
855	18000	532	Yew longbow
857	18000	215	Yew shortbow
859	18000	1127	Magic longbow
861	18000	728	Magic shortbow
863	7000	36	Iron knife
864	7000	51	Bronze knife
865	7000	61	Steel knife
866	7000	180	Mithril knife
867	11000	312	Adamant knife
868	11000	113	Rune knife
869	7000	37	Black knife
870	7000	12641	Bronze knife(p)
871	7000	253	Iron knife(p)
872	7000	181	Steel knife(p)
873	7000	400	Mithril knife(p)
874	7000	277	Black knife(p)
875	11000	290	Adamant knife(p)
876	7000	392	Rune knife(p)
877	7000	2	Bronze bolts
878	11000	560	Bronze bolts (p)
879	11000	29	Opal bolts
880	11000	34	Pearl bolts
881	7000	47	Barbed bolts
882	7000	3	Bronze arrow
883	7000	69	Bronze arrow(p)
884	7000	4	Iron arrow
885	7000	2642	Iron arrow(p)
886	7000	5	Steel arrow
887	7000	75	Steel arrow(p)
888	7000	4	Mithril arrow
889	7000	34	Mithril arrow(p)
890	11000	22	Adamant arrow
891	11000	30	Adamant arrow(p)
892	11000	44	Rune arrow
893	11000	193	Rune arrow(p)
946	40	84	Knife
948	18000	7	Bear fur
950	18000	242	Silk
952	40	137	Spade
954	250	47	Rope
958	18000	10	Grey wolf fur
960	13000	137	Plank
962	4	75247	Christmas cracker
970	13000	76	Papyrus
973	13000	175	Charcoal
975	15	5	Machete
981	50	13261	Disk of Returning
983	15	205	Brass key
985	11000	9167	Tooth half of key
987	11000	9465	Loop half of key
989	11000	20095	Crystal key
991	11000	6133	Muddy key
993	11000	21797	Sinister key
1005	150	37	White apron
1007	150	79	Red cape
1009	150	248	Brass necklace
1011	150	39	Blue skirt
1013	150	1	Pink skirt
1015	150	11	Black skirt
1017	125	230	Wizard hat
1019	150	378	Black cape
1021	150	79	Blue cape
1023	150	78	Yellow cape
1025	150	200	Right eye patch
1027	150	566	Green cape
1029	150	748	Purple cape
1031	150	678	Orange cape
1033	15	2411	Zamorak monk bottom
1035	15	764	Zamorak monk top
1038	5	12711	Red partyhat
1040	5	10830	Yellow partyhat
1042	5	20622	Blue partyhat
1044	5	12976	Green partyhat
1046	5	19440	Purple partyhat
1048	5	25940	White partyhat
1050	5	27138	Santa hat
1053	5	8163	Green halloween mask
1055	5	7790	Blue halloween mask
1057	5	8599	Red halloween mask
1059	125	8	Leather gloves
1061	125	29	Leather boots
1063	125	13	Leather vambraces
1065	125	1354	Green d'hide vambraces
1067	125	52	Iron platelegs
1069	125	336	Steel platelegs
1071	125	1163	Mithril platelegs
1073	125	3496	Adamant platelegs
1075	125	265	Bronze platelegs
1077	125	1143	Black platelegs
1079	70	37599	Rune platelegs
1081	125	12	Iron plateskirt
1083	125	344	Steel plateskirt
1085	125	1332	Mithril plateskirt
1087	125	45	Bronze plateskirt
1089	125	2034	Black plateskirt
1091	125	3576	Adamant plateskirt
1093	70	37900	Rune plateskirt
1095	125	13	Leather chaps
1097	125	280	Studded chaps
1099	125	2099	Green d'hide chaps
1101	125	175	Iron chainbody
1103	125	26	Bronze chainbody
1105	125	200	Steel chainbody
1107	125	3101	Black chainbody
1109	125	973	Mithril chainbody
1111	125	2517	Adamant chainbody
1113	70	29578	Rune chainbody
1115	125	60	Iron platebody
1117	125	61	Bronze platebody
1119	125	1028	Steel platebody
1121	125	2890	Mithril platebody
1123	125	9264	Adamant platebody
1125	125	2227	Black platebody
1127	70	38164	Rune platebody
1129	125	5	Leather body
1131	125	15	Hardleather body
1133	125	210	Studded body
1135	125	4403	Green d'hide body
1137	125	19	Iron med helm
1139	125	110	Bronze med helm
1141	125	77	Steel med helm
1143	125	275	Mithril med helm
1145	125	854	Adamant med helm
1147	70	10898	Rune med helm
1149	8	59666	Dragon med helm
1151	125	2155	Black med helm
1153	125	30	Iron full helm
1155	125	92	Bronze full helm
1157	125	143	Steel full helm
1159	125	536	Mithril full helm
1161	125	1696	Adamant full helm
1163	70	20474	Rune full helm
1165	125	789	Black full helm
1167	125	5	Leather cowl
1169	125	40	Coif
1171	125	230	Wooden shield
1173	125	36	Bronze sq shield
1175	125	35	Iron sq shield
1177	125	113	Steel sq shield
1179	125	261	Black sq shield
1181	125	526	Mithril sq shield
1183	125	1911	Adamant sq shield
1185	70	22127	Rune sq shield
1187	70	301021	Dragon sq shield
1189	125	129	Bronze kiteshield
1191	125	60	Iron kiteshield
1193	125	205	Steel kiteshield
1195	125	447	Black kiteshield
1197	125	1047	Mithril kiteshield
1199	125	2958	Adamant kiteshield
1201	70	31843	Rune kiteshield
1203	125	39	Iron dagger
1205	125	101	Bronze dagger
1207	125	54	Steel dagger
1209	125	126	Mithril dagger
1211	125	178	Adamant dagger
1213	70	4299	Rune dagger
1215	70	17148	Dragon dagger
1217	125	337	Black dagger
1219	125	1	Iron dagger(p)
1221	125	268	Bronze dagger(p)
1223	125	344	Steel dagger(p)
1225	125	20	Mithril dagger(p)
1227	125	209	Adamant dagger(p)
1229	70	5152	Rune dagger(p)
1231	70	18090	Dragon dagger(p)
1233	125	91	Black dagger(p)
1237	125	104	Bronze spear
1239	125	469	Iron spear
1241	125	5178	Steel spear
1243	125	188	Mithril spear
1245	125	635	Adamant spear
1247	70	11503	Rune spear
1249	70	42180	Dragon spear
1251	125	1088	Bronze spear(p)
1253	125	277	Iron spear(p)
1255	125	28	Steel spear(p)
1257	125	119	Mithril spear(p)
1259	125	730	Adamant spear(p)
1261	70	12680	Rune spear(p)
1263	70	39312	Dragon spear(p)
1265	40	82	Bronze pickaxe
1267	40	53	Iron pickaxe
1269	40	157	Steel pickaxe
1271	40	1587	Adamant pickaxe
1273	40	492	Mithril pickaxe
1275	40	18326	Rune pickaxe
1277	125	54	Bronze sword
1279	125	32	Iron sword
1281	125	19	Steel sword
1283	125	685	Black sword
1285	125	217	Mithril sword
1287	125	976	Adamant sword
1289	70	11704	Rune sword
1291	125	63	Bronze longsword
1293	125	33	Iron longsword
1295	125	117	Steel longsword
1297	125	301	Black longsword
1299	125	354	Mithril longsword
1301	125	1501	Adamant longsword
1303	70	18417	Rune longsword
1305	70	59279	Dragon longsword
1307	125	547	Bronze 2h sword
1309	125	79	Iron 2h sword
1311	125	341	Steel 2h sword
1313	125	1033	Black 2h sword
1315	125	1338	Mithril 2h sword
1317	125	3364	Adamant 2h sword
1319	70	37738	Rune 2h sword
1321	125	87	Bronze scimitar
1323	125	33	Iron scimitar
1325	125	10	Steel scimitar
1327	125	1414	Black scimitar
1329	125	336	Mithril scimitar
1331	125	1435	Adamant scimitar
1333	70	14978	Rune scimitar
1335	125	36	Iron warhammer
1337	125	30	Bronze warhammer
1339	125	115	Steel warhammer
1341	125	830	Black warhammer
1343	125	802	Mithril warhammer
1345	125	2385	Adamant warhammer
1347	70	24235	Rune warhammer
1349	40	197	Iron axe
1351	40	91	Bronze axe
1353	40	173	Steel axe
1355	40	123	Mithril axe
1357	40	347	Adamant axe
1359	40	7087	Rune axe
1361	40	1045	Black axe
1363	125	30	Iron battleaxe
1365	125	141	Steel battleaxe
1367	125	571	Black battleaxe
1369	125	861	Mithril battleaxe
1371	125	2546	Adamant battleaxe
1373	70	24141	Rune battleaxe
1375	125	69	Bronze battleaxe
1377	70	119315	Dragon battleaxe
1379	125	27	Staff
1381	125	1391	Staff of air
1383	125	842	Staff of water
1385	125	950	Staff of earth
1387	125	902	Staff of fire
1389	125	365	Magic staff
1391	11000	7776	Battlestaff
1393	18000	8874	Fire battlestaff
1395	18000	8799	Water battlestaff
1397	18000	8737	Air battlestaff
1399	18000	8805	Earth battlestaff
1401	18000	25241	Mystic fire staff
1403	18000	25425	Mystic water staff
1405	18000	25174	Mystic air staff
1407	18000	25248	Mystic earth staff
1420	125	25	Iron mace
1422	125	59	Bronze mace
1424	125	14	Steel mace
1426	125	801	Black mace
1428	125	96	Mithril mace
1430	125	625	Adamant mace
1432	70	8340	Rune mace
1434	70	29120	Dragon mace
1436	20000	12	Rune essence
1438	11000	140	Air talisman
1440	11000	622	Earth talisman
1442	11000	2589	Fire talisman
1444	11000	276	Water talisman
1446	11000	1420	Body talisman
1448	11000	1415	Mind talisman
1450	0	140145	Blood talisman
1452	11000	225	Chaos talisman
1454	11000	256	Cosmic talisman
1456	11000	2350	Death talisman
1462	11000	181	Nature talisman
1464	18000	22	Archery ticket
1470	11000	1582	Red bead
1472	11000	1036	Yellow bead
1474	11000	1121	Black bead
1476	11000	1037	White bead
1478	5	2015	Amulet of accuracy
1511	15000	23	Logs
1513	12000	730	Magic logs
1515	12000	106	Yew logs
1517	15000	11	Maple logs
1519	15000	22	Willow logs
1521	15000	38	Oak logs
1523	250	229	Lockpick
1539	13000	39	Steel nails
1540	125	161	Anti-dragon shield
1550	11000	19	Garlic
1552	15	500	Seasoned sardine
1573	15	130	Doogle leaves
1592	40	163	Ring mould
1595	40	210	Amulet mould
1597	40	450	Necklace mould
1599	40	11	Holy mould
1601	11000	1628	Diamond
1603	13000	719	Ruby
1605	13000	296	Emerald
1607	13000	176	Sapphire
1609	13000	227	Opal
1611	13000	327	Jade
1613	11000	1848	Red topaz
1615	11000	10715	Dragonstone
1617	10000	2431	Uncut diamond
1619	10000	1021	Uncut ruby
1621	10000	397	Uncut emerald
1623	10000	215	Uncut sapphire
1625	10000	77	Uncut opal
1627	10000	113	Uncut jade
1629	10000	1427	Uncut red topaz
1631	10000	14799	Uncut dragonstone
1635	18000	135	Gold ring
1637	10000	443	Sapphire ring
1639	10000	628	Emerald ring
1641	10000	1014	Ruby ring
1643	10000	1924	Diamond ring
1645	10000	10403	Dragonstone ring
1654	18000	158	Gold necklace
1656	18000	553	Sapphire necklace
1658	18000	707	Emerald necklace
1660	18000	1129	Ruby necklace
1662	18000	2017	Diamond necklace
1664	10000	11132	Dragon necklace
1673	18000	145	Gold amulet (u)
1675	10000	395	Sapphire amulet (u)
1677	10000	600	Emerald amulet (u)
1679	10000	1041	Ruby amulet (u)
1681	10000	1935	Diamond amulet (u)
1683	10000	11019	Dragonstone amulet (u)
1692	18000	136	Gold amulet
1694	10000	449	Sapphire amulet
1696	10000	650	Emerald amulet
1698	10000	1161	Ruby amulet
1700	10000	2034	Diamond amulet
1702	10000	12249	Dragonstone amulet
1704	10000	11922	Amulet of glory
1712	10000	12477	Amulet of glory(4)
1714	10000	50	Unstrung symbol
1716	10000	46	Unblessed symbol
1718	125	249	Holy symbol
1720	10000	100	Unstrung emblem
1722	10000	226	Unpowered symbol
1724	125	425	Unholy symbol
1725	125	1068	Amulet of strength
1727	125	665	Amulet of magic
1729	125	655	Amulet of defence
1731	125	1875	Amulet of power
1733	40	102	Needle
1734	18000	6	Thread
1735	40	96	Shears
1737	13000	16	Wool
1739	13000	130	Cowhide
1741	13000	191	Leather
1743	13000	187	Hard leather
1745	13000	1830	Green dragon leather
1747	11000	3761	Black dragonhide
1749	11000	2263	Red dragonhide
1751	13000	1851	Blue dragonhide
1753	13000	1522	Green dragonhide
1755	40	88	Chisel
1757	40	37	Brown apron
1759	13000	51	Ball of wool
1761	13000	132	Soft clay
1763	150	1000	Red dye
1765	150	270	Yellow dye
1767	150	305	Blue dye
1769	150	709	Orange dye
1771	150	195	Green dye
1773	150	441	Purple dye
1775	13000	84	Molten glass
1777	13000	231	Bow string
1779	13000	2	Flax
1781	13000	21	Soda ash
1783	13000	7	Bucket of sand
1785	40	55	Glassblowing pipe
1787	10000	61	Unfired pot
1789	10000	100	Unfired pie dish
1791	10000	375	Unfired bowl
1793	11000	80	Woad leaf
1794	15	120	Bronze wire
1823	2000	78	Waterskin(4)
1831	10000	2	Waterskin(0)
1833	150	258	Desert shirt
1835	150	194	Desert robe
1837	150	139	Desert boots
1854	18000	26	Shantay pass (item)
1859	11000	956	Raw ugthanki meat
1861	11000	4185	Ugthanki meat
1865	11000	74	Pitta bread
1869	11000	334	Chopped tomato
1871	11000	127	Chopped onion
1873	11000	6528	Chopped ugthanki
1875	11000	10	Onion & tomato
1877	11000	200	Ugthanki & onion
1879	11000	25006	Ugthanki & tomato
1881	11000	2068	Kebab mix
1885	10000	744	Ugthanki kebab
1887	40	53	Cake tin
1891	6000	123	Cake
1897	6000	146	Chocolate cake
1905	2000	126	Asgarnian ale
1907	2000	219	Wizard's mind bomb
1909	2000	275	Greenman's ale
1911	2000	623	Dragon bitter
1913	2000	149	Dwarven stout
1915	2000	1608	Grog
1917	2000	82	Beer
1919	10000	26	Beer glass
1921	13000	35	Bowl of water
1923	13000	21	Bowl
1925	13000	8	Bucket
1927	13000	38	Bucket of milk
1929	13000	30	Bucket of water
1931	13000	11	Pot
1933	13000	88	Pot of flour
1935	13000	2	Jug
1937	13000	14	Jug of water
1939	13000	3	Swamp tar
1941	13000	17	Swamp paste
1942	13000	15	Potato
1944	13000	22	Egg
1947	13000	10	Grain
1949	150	319	Chef's hat
1951	13000	53	Redberries
1953	13000	137	Pastry dough
1955	13000	35	Cooking apple
1957	13000	24	Onion
1959	50	9108	Pumpkin
1961	50	5276	Easter egg
1963	13000	63	Banana
1965	6000	25	Cabbage
1969	50	375	Spinach roll
1971	6000	68	Kebab
1973	13000	28	Chocolate bar
1975	13000	56	Chocolate dust
1978	2000	62	Cup of tea
1980	13000	4	Empty cup
1982	13000	21	Tomato
1985	13000	58	Cheese
1987	20000	69	Grapes
1989	50	12483	Half full wine jug
1993	6000	3	Jug of wine
2003	10000	129	Stew
2007	11000	28	Spice
2011	10000	420	Curry
2015	13000	75	Vodka
2017	13000	151	Whisky
2019	13000	189	Gin
2021	13000	138	Brandy
2023	15	161	Cocktail guide
2025	40	50	Cocktail shaker
2026	13000	89	Cocktail glass
2028	2000	698	Premade blurb' sp.
2030	2000	1060	Premade choc s'dy
2032	2000	49	Premade dr' dragon
2034	2000	52	Premade fr' blast
2036	2000	1017	Premade p' punch
2038	2000	70	Premade sgg
2040	2000	42	Premade wiz blz'd
2048	2000	4889	Pineapple punch
2054	2000	7249	Wizard blizzard
2064	2000	2450	Blurberry special
2074	2000	2593	Choc saturday
2080	2000	3725	Short green guy
2084	2000	1925	Fruit blast
2092	2000	1877	Drunk dragon
2102	13000	135	Lemon
2104	13000	28	Lemon chunks
2106	13000	115	Lemon slices
2108	13000	226	Orange
2110	13000	196	Orange chunks
2112	13000	178	Orange slices
2114	13000	168	Pineapple
2116	13000	1165	Pineapple chunks
2118	13000	96	Pineapple ring
2120	13000	120	Lime
2122	13000	208	Lime chunks
2124	13000	257	Lime slices
2126	13000	32	Dwellberries
2128	13000	195	Equa leaves
2130	13000	27	Pot of cream
2132	13000	45	Raw beef
2134	13000	55	Raw rat meat
2136	13000	284	Raw bear meat
2138	13000	25	Raw chicken
2140	6000	81	Cooked chicken
2142	6000	70	Cooked meat
2150	13000	225	Swamp toad (item)
2152	13000	301	Toad's legs
2162	13000	482	King worm
2164	40	155	Batta tin
2165	40	150	Crunchy tray
2166	40	208	Gnomebowl mould
2167	15	114	Gianne's cook book
2169	13000	200	Gnome spice
2171	13000	13	Gianne dough
2185	6000	541	Chocolate bomb
2187	6000	7408	Tangled toad's legs
2191	6000	9250	Worm hole
2195	6000	6780	Veg ball
2203	0	1	Rock-climbing boots
2205	6000	3331	Worm crunchies
2209	6000	839	Chocchip crunchies
2213	6000	6105	Spicy crunchies
2217	6000	3344	Toad crunchies
2219	6000	25038	Premade w'm batta
2221	6000	2522	Premade t'd batta
2223	6000	25175	Premade c+t batta
2225	6000	3535	Premade fr't batta
2227	6000	25053	Premade veg batta
2229	6000	10175	Premade choc bomb
2231	6000	479	Premade ttl
2233	6000	2533	Premade worm hole
2235	6000	25030	Premade veg ball
2237	6000	25051	Premade w'm crun'
2239	6000	3906	Premade ch' crunch
2241	6000	4750	Premade s'y crunch
2243	6000	446	Premade t'd crunch
2253	6000	11595	Worm batta
2255	6000	1471	Toad batta
2259	6000	1147	Cheese+tom batta
2277	6000	5068	Fruit batta
2281	6000	5202	Vegetable batta
2283	11000	123	Pizza base
2289	10000	449	Plain pizza
2293	10000	255	Meat pizza
2297	10000	467	Anchovy pizza
2301	10000	819	Pineapple pizza
2307	13000	132	Bread dough
2309	6000	92	Bread
2313	500	34	Pie dish
2315	13000	290	Pie shell
2317	13000	432	Uncooked apple pie
2319	13000	400	Uncooked meat pie
2321	13000	368	Uncooked berry pie
2323	10000	79	Apple pie
2325	15	368	Redberry pie
2327	10000	43	Meat pie
2337	15	2195	Raw oomlie
2341	15	5050	Wrapped oomlie
2343	15	1404	Cooked oomlie wrap
2347	40	104	Hammer
2349	10000	57	Bronze bar
2351	10000	170	Iron bar
2353	10000	569	Steel bar
2355	10000	108	Silver bar
2357	10000	65	Gold bar
2359	10000	966	Mithril bar
2361	10000	1876	Adamantite bar
2363	10000	12244	Runite bar
2366	50	65247	Shield left half
2368	50	782499	Shield right half
2370	13000	477	Steel studs
2428	2000	15	Attack potion(4)
2430	2000	50	Restore potion(4)
2432	2000	600	Defence potion(4)
2434	2000	9348	Prayer potion(4)
2436	2000	2141	Super attack(4)
2438	2000	37	Fishing potion(4)
2440	2000	3154	Super strength(4)
2442	2000	3313	Super defence(4)
2444	2000	2005	Ranging potion(4)
2446	2000	423	Antipoison(4)
2448	2000	1612	Superantipoison(4)
2450	2000	579	Zamorak brew(4)
2452	2000	880	Antifire potion(4)
2454	2000	677	Antifire potion(3)
2456	2000	275	Antifire potion(2)
2458	2000	146	Antifire potion(1)
2460	150	316	Assorted flowers
2462	150	82	Red flowers
2464	150	57	Blue flowers
2466	150	130	Yellow flowers
2468	150	232	Purple flowers
2470	150	150	Orange flowers
2472	150	150	Mixed flowers
2474	150	102455	White flowers
2476	150	34426	Black flowers
2481	11000	1280	Lantadyme
2483	10000	1548	Lantadyme potion (unf)
2485	11000	1160	Grimy lantadyme
2487	125	1292	Blue d'hide vambraces
2489	70	1588	Red d'hide vambraces
2491	70	2482	Black d'hide vambraces
2493	125	1982	Blue d'hide chaps
2495	70	2565	Red d'hide chaps
2497	70	3396	Black d'hide chaps
2499	125	5005	Blue d'hide body
2501	70	5647	Red d'hide body
2503	70	7307	Black d'hide body
2505	13000	2103	Blue dragon leather
2507	11000	2609	Red dragon leather
2509	11000	4125	Black dragon leather
2520	150	2881	Brown toy horsey
2522	150	3629	White toy horsey
2524	150	3150	Black toy horsey
2526	150	301	Grey toy horsey
2550	15000	1218	Ring of recoil
2552	15000	883	Ring of dueling(8)
2568	10000	1037	Ring of forging
2570	10000	1761	Ring of life
2572	10000	10826	Ring of wealth
2577	8	35170019	Ranger boots
2579	8	122722	Wizard boots
2581	8	5738000	Robin hood hat
2583	8	11364	Black platebody (t)
2585	8	6042	Black platelegs (t)
2587	8	12919	Black full helm (t)
2589	8	7283	Black kiteshield (t)
2591	8	108148	Black platebody (g)
2593	8	21749	Black platelegs (g)
2595	8	62343	Black full helm (g)
2597	8	98870	Black kiteshield (g)
2599	8	9450	Adamant platebody (t)
2601	8	3647	Adamant platelegs (t)
2603	8	6583	Adamant kiteshield (t)
2605	8	6925	Adamant full helm (t)
2607	8	18357	Adamant platebody (g)
2609	8	7355	Adamant platelegs (g)
2611	8	14102	Adamant kiteshield (g)
2613	8	10368	Adamant full helm (g)
2615	8	43202	Rune platebody (g)
2617	8	41535	Rune platelegs (g)
